eLink,linkChannel,SRAM_read_group
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,2
0,21,2
0,22,2
0,23,2
0,24,2
0,25,2
0,26,2
0,27,2
0,28,2
0,29,2
0,30,2
0,31,2
0,32,3
0,33,3
0,34,3
0,35,3
0,36,3
1,0,3
1,1,3
1,2,3
1,3,3
1,4,3
1,5,4
1,6,4
1,7,4
1,8,4
1,9,4
1,10,4
1,11,4
1,12,4
1,13,4
1,14,4
1,15,4
1,16,4
1,17,5
1,18,5
1,19,5
1,20,5
1,21,5
1,22,5
1,23,5
1,24,5
1,25,5
1,26,5
1,27,5
1,28,5
1,29,6
1,30,6
1,31,6
1,32,6
1,33,6
1,34,6
1,35,6
1,36,6
2,0,6
2,1,6
2,2,7
2,3,7
2,4,7
2,5,7
2,6,7
2,7,7
2,8,7
2,9,7
2,10,7
2,11,7
2,12,7
2,13,7
2,14,8
2,15,8
2,16,8
2,17,8
2,18,8
2,19,8
2,20,8
2,21,8
2,22,8
2,23,8
2,24,8
2,25,8
2,26,9
2,27,9
2,28,9
2,29,9
2,30,9
2,31,9
2,32,9
2,33,9
2,34,9
2,35,9
2,36,9
3,0,10
3,1,10
3,2,10
3,3,10
3,4,10
3,5,10
3,6,10
3,7,10
3,8,10
3,9,10
3,10,10
3,11,11
3,12,11
3,13,11
3,14,11
3,15,11
3,16,11
3,17,11
3,18,11
3,19,11
3,20,11
3,21,11
3,22,11
3,23,12
3,24,12
3,25,12
3,26,12
3,27,12
3,28,12
3,29,12
3,30,12
3,31,12
3,32,12
3,33,12
3,34,12
3,35,13
3,36,13
4,0,13
4,1,13
4,2,13
4,3,13
4,4,13
4,5,13
4,6,13
4,7,13
4,8,14
4,9,14
4,10,14
4,11,14
4,12,14
4,13,14
4,14,14
4,15,14
4,16,14
4,17,14
4,18,14
4,19,14
4,20,15
4,21,15
4,22,15
4,23,15
4,24,15
4,25,15
4,26,15
4,27,15
4,28,15
4,29,15
4,30,15
4,31,15
4,32,16
4,33,16
4,34,16
4,35,16
4,36,16
5,0,16
5,1,16
5,2,16
5,3,16
5,4,16
5,5,17
5,6,17
5,7,17
5,8,17
5,9,17
5,10,17
5,11,17
5,12,17
5,13,17
5,14,17
5,15,17
5,16,17
5,17,18
5,18,18
5,19,18
5,20,18
5,21,18
5,22,18
5,23,18
5,24,18
5,25,18
5,26,18
5,27,18
5,28,18
5,29,19
5,30,19
5,31,19
5,32,19
5,33,19
5,34,19
5,35,19
5,36,19
6,0,19
6,1,19
6,2,20
6,3,20
6,4,20
6,5,20
6,6,20
6,7,20
6,8,20
6,9,20
6,10,20
6,11,20
6,12,20
6,13,20
6,14,21
6,15,21
6,16,21
6,17,21
6,18,21
6,19,21
6,20,21
6,21,21
6,22,21
6,23,21
6,24,21
6,25,21
6,26,22
6,27,22
6,28,22
6,29,22
6,30,22
6,31,22
6,32,22
6,33,22
6,34,22
6,35,22
6,36,22
7,0,23
7,1,23
7,2,23
7,3,23
7,4,23
7,5,23
7,6,23
7,7,23
7,8,23
7,9,23
7,10,23
7,11,24
7,12,24
7,13,24
7,14,24
7,15,24
7,16,24
7,17,24
7,18,24
7,19,24
7,20,24
7,21,24
7,22,24
7,23,25
7,24,25
7,25,25
7,26,25
7,27,25
7,28,25
7,29,25
7,30,25
7,31,25
7,32,25
7,33,25
7,34,25
7,35,26
7,36,26
8,0,26
8,1,26
8,2,26
8,3,26
8,4,26
8,5,26
8,6,26
8,7,26
8,8,27
8,9,27
8,10,27
8,11,27
8,12,27
8,13,27
8,14,27
8,15,27
8,16,27
8,17,27
8,18,27
8,19,27
8,20,28
8,21,28
8,22,28
8,23,28
8,24,28
8,25,28
8,26,28
8,27,28
8,28,28
8,29,28
8,30,28
8,31,28
8,32,29
8,33,29
8,34,29
8,35,29
8,36,29
9,0,29
9,1,29
9,2,29
9,3,29
9,4,29
9,5,30
9,6,30
9,7,30
9,8,30
9,9,30
9,10,30
9,11,30
9,12,30
9,13,30
9,14,30
9,15,30
9,16,30
9,17,31
9,18,31
9,19,31
9,20,31
9,21,31
9,22,31
9,23,31
9,24,31
9,25,31
9,26,31
9,27,31
9,28,31
9,29,32
9,30,32
9,31,32
9,32,32
9,33,32
9,34,32
9,35,32
9,36,32
10,0,32
10,1,32
10,2,33
10,3,33
10,4,33
10,5,33
10,6,33
10,7,33
10,8,33
10,9,33
10,10,33
10,11,33
10,12,33
10,13,33
10,14,34
10,15,34
10,16,34
10,17,34
10,18,34
10,19,34
10,20,34
10,21,34
10,22,34
10,23,34
10,24,34
10,25,34
10,26,35
10,27,35
10,28,35
10,29,35
10,30,35
10,31,35
10,32,35
10,33,35
10,34,35
10,35,35
10,36,35
11,0,36
11,1,36
11,2,36
11,3,36
11,4,36
11,5,36
11,6,36
11,7,36
11,8,36
11,9,36
11,10,36
11,11,37
11,12,37
11,13,37
11,14,37
11,15,37
11,16,37
11,17,37
11,18,37
11,19,37
11,20,37
11,21,37
11,22,37
11,23,38
11,24,38
11,25,38
11,26,38
11,27,38
11,28,38
11,29,38
11,30,38
11,31,38
11,32,38
11,33,38
11,34,38
11,35,39
11,36,39
