HDM,eLink,linkChannel,cellu,cellv,SRAM_read_group
False,0,0,0,0,0
False,0,1,0,1,0
False,0,2,0,2,0
False,0,3,0,3,0
False,0,4,0,4,0
False,0,5,0,5,0
False,0,6,0,6,0
False,0,7,0,7,0
False,0,8,1,0,1
False,0,9,1,1,1
False,0,10,1,2,1
False,0,11,1,3,1
False,0,12,1,4,1
False,0,13,1,5,1
False,0,14,1,6,1
False,0,15,1,7,1
False,0,16,2,0,1
False,0,17,2,1,1
False,0,18,2,2,1
False,0,19,2,3,1
False,0,20,2,4,2
False,0,21,2,5,2
False,0,22,2,6,2
False,0,23,2,7,2
False,0,24,3,0,2
False,0,25,3,1,2
False,0,26,3,2,2
False,0,27,3,3,2
False,0,28,3,4,2
False,0,29,3,5,2
False,0,30,3,6,2
False,0,31,3,7,2
False,0,32,99,99,3
False,1,0,4,0,3
False,1,1,4,1,3
False,1,2,4,2,3
False,1,3,4,3,3
False,1,4,4,4,3
False,1,5,4,5,4
False,1,6,4,6,4
False,1,7,4,7,4
False,1,8,5,0,4
False,1,9,5,1,4
False,1,10,5,2,4
False,1,11,5,3,4
False,1,12,5,4,4
False,1,13,5,5,4
False,1,14,5,6,4
False,1,15,5,7,4
False,1,16,6,0,4
False,1,17,6,1,5
False,1,18,6,2,5
False,1,19,6,3,5
False,1,20,6,4,5
False,1,21,6,5,5
False,1,22,6,6,5
False,1,23,6,7,5
False,1,24,7,0,5
False,1,25,7,1,5
False,1,26,7,2,5
False,1,27,7,3,5
False,1,28,7,4,5
False,1,29,7,5,6
False,1,30,7,6,6
False,1,31,7,7,6
False,1,32,99,99,6
False,2,0,8,0,6
False,2,1,8,1,6
False,2,2,8,2,7
False,2,3,8,3,7
False,2,4,9,1,7
False,2,5,9,2,7
False,2,6,9,3,7
False,2,7,9,4,7
False,2,8,10,2,7
False,2,9,10,3,7
False,2,10,10,4,7
False,2,11,10,5,7
False,2,12,11,3,7
False,2,13,11,4,7
False,2,14,11,5,8
False,2,15,11,6,8
False,2,16,12,4,8
False,2,17,12,5,8
False,2,18,12,6,8
False,2,19,12,7,8
False,2,20,13,5,8
False,2,21,13,6,8
False,2,22,13,7,8
False,2,23,13,8,8
False,2,24,14,6,8
False,2,25,14,7,8
